Ticker,Probability,ret5,rel20,rsi14,vol_spike,bb_pos,above_sma20,above_sma50,ML_Probability
ALM,,0.0374449510401666,,53.0740076771184,4.41453837601011,0.6968082907117494,1.0,1.0,49.73491830189317
ARES,,0.1173712136529143,,78.70245701004616,5.371107743705159,1.0,1.0,1.0,50.4259713594418
CETX,,0.5465836822927281,,51.525367027741325,0.9983925125631444,0.6881326120342911,1.0,0.0,48.483066491523545
CFLT,,0.2953166318736822,,78.7396741943502,3.3036262213302554,1.0,1.0,1.0,
CHOW,,0.0573381672536066,,57.06961549183677,4.45992512275174,1.0,1.0,1.0,50.03846275805933
GOGO,,-0.1701183515429631,,23.468554650667443,3.645463453978023,0.0,0.0,0.0,
IMMX,,0.7531486115841282,,84.69005065650077,1.497659472963457,1.0,1.0,1.0,
PHR,,-0.228784106399576,,19.170294551292272,4.578449304552259,0.0,0.0,0.0,
SLM,,-0.099536056664332,,39.9500031656176,5.405251114139407,0.1978148503029237,0.0,0.0,50.17918129465383
TGL,,0.8206522116588968,,52.854074862435446,1.25145722310952,0.6692067107388873,1.0,1.0,48.553817684602826
TWG,,0.0905983279399109,,49.34903235883576,1.074462477346376,0.5022777475070505,1.0,1.0,49.28011145900237
VOR,,0.4558697987626932,,42.45666502200362,10.20613439938592,1.0,1.0,0.0,
WVE,,2.050071586971417,,90.67805876745498,2.8108565685222446,1.0,1.0,1.0,
