Date,Screener,Ticker,Probability,ret5,ret20,rel20,rsi14,vol_spike,bb_pos,above_sma20,above_sma50,ML_Probability,Outcome2D_Label,Outcome2D_Excess
20251127,07_gap_watch_liquid,A,95.4675162950601,0.0690443327016363,0.0780027821717241,0.0892191539669989,64.67767144297561,1.6765653388704826,0.925777966242966,1.0,1.0,50.53359085847888,0.0,-0.032636462745118444
20251127,07_gap_watch_liquid,AA,95.55792010664756,0.1320805640765232,0.0712425255126416,0.0824588973079164,63.40573292340543,1.2892923279366022,1.0,1.0,1.0,50.97959734007751,1.0,0.0034991418324104018
20251127,07_gap_watch_liquid,AAAU,91.64330091540953,0.0213716888613972,0.0551989131981569,0.0664152849934317,59.88407243669849,1.556840863066187,0.8340434799859384,1.0,1.0,50.967475945210126,1.0,0.015168837219857956
20251127,07_gap_watch_liquid,AAL,95.13181534353008,0.1297648330389291,0.0740169636378034,0.0852333354330782,61.99676005717322,1.1999932411787346,0.981789894605546,1.0,1.0,50.662742317876855,0.0,-0.0014918605646195848
20251127,07_gap_watch_liquid,AAOI,41.34675219431389,0.2252035776996863,-0.2793122879163227,-0.2680959161210479,49.52161120706604,1.3175184776382156,0.498382221958037,0.0,0.0,47.73897412756655,1.0,0.047542262358289955
20251127,07_gap_watch_liquid,AAON,27.10835460119833,0.0154452555763866,-0.0965516506912806,-0.0853352788960059,45.790464122194685,0.6974305191400105,0.369763198764001,0.0,0.0,47.971023718588704,0.0,-0.016945233695292106
20251127,07_gap_watch_liquid,AAP,53.10527024282254,0.028976833261598,-0.0660257449505774,-0.0548093731553026,50.46338054219715,0.7305961754780652,0.8263630871281432,1.0,0.0,50.03043203589432,1.0,0.031883144477496295
20251127,07_gap_watch_liquid,AAPD,21.481107069338435,-0.0315789526519352,-0.0257186191921542,-0.0145022473968794,34.12093702488389,0.510594663996547,0.0361891377020357,0.0,0.0,49.771452938981945,0.0,-0.014287676459538323
20251127,07_gap_watch_liquid,AAPL,86.27656737278431,0.0334747926575087,0.0301039611524378,0.0413203329477126,66.80996295370221,0.6597242298491104,0.9861003977556329,1.0,1.0,50.50034005974583,1.0,0.013600213058351462
20251127,07_gap_watch_liquid,AAPU,87.75970720558075,0.0648617962899971,0.0512249511799436,0.0624413229752184,65.36825294323964,0.4061612563343535,0.9627129348906058,1.0,1.0,49.57842552592065,1.0,0.027056951655119788
20251127,07_gap_watch_liquid,ABBV,71.67602045282206,-0.0225408952705026,0.0111930544518639,0.0224094262471387,49.89759257051083,0.8910278694519564,0.5447639661414632,1.0,1.0,51.71315740695732,0.0,-0.016587924701144785
20251127,07_gap_watch_liquid,ABEO,93.24213263059202,0.2261905545820761,0.0320641947070499,0.0432805665023247,58.25833003117569,0.8750492168107507,0.993618978058345,1.0,1.0,49.86952079858917,0.0,-0.07021204821616078
20251127,07_gap_watch_liquid,ABNB,31.60131020981022,0.0200978274492862,-0.0770082640310914,-0.0657918922358166,42.57661928274146,0.8829040742909152,0.3232780263953071,0.0,0.0,47.62686885285072,1.0,0.014395869905091452
20251127,07_gap_watch_liquid,ABR,31.21929344464693,0.0331807745363277,-0.1907676324521918,-0.179551260656917,42.38067693093278,0.9642064751891656,0.5101603640185265,1.0,0.0,50.66394165191892,0.0,-0.04114707974733367
20251127,07_gap_watch_liquid,ABT,70.08058076537331,0.0189456340177975,0.0330305631349103,0.0442469349301851,52.21103303680624,0.8030038193219402,0.6878476890929871,1.0,0.0,51.17220626567251,1.0,0.001225222106552959
20251127,07_gap_watch_liquid,ABVX,97.20922910406122,0.1127047693747786,0.2702647786935861,0.2814811504888609,70.56669683825479,0.6755694631143627,0.9005748841082609,1.0,1.0,49.33997340051697,0.0,-0.04815713225138818
20251127,07_gap_watch_liquid,ACAD,94.70755089286804,0.0740259331703032,0.1011983448650459,0.1124147166603207,64.1549136483113,1.1591102452497504,0.9435832548951976,1.0,1.0,50.4516865783157,0.0,-0.002086075105874219
20251127,10_pattern_wedge_resist,AKR,91.81113702262464,0.0470107353418745,0.073336804994236,0.0845531767895108,59.942494365582974,0.9419158127797884,0.8663856096397436,1.0,1.0,50.51281647881068,0.0,-0.009088686758851994
20251127,08_overbought,ALMS,98.22075089439662,0.1628614409234703,0.6220806379210466,0.6332970097163214,89.14546660470947,1.0158437163513303,0.9401379749222653,1.0,1.0,51.64245227253191,0.0,-0.03389952019567877
20251127,03_unusual_volume_liquid,AMBA,18.2116748274184,-0.1549634340511106,-0.1408139605854832,-0.1295975887902084,37.43954361422213,4.368193552854133,0.0,0.0,0.0,54.3701460249442,0.0,-0.03122168428608907
20251127,01_new_highs_liquid,ARMN,99.21013924378596,0.1861252808579003,0.5010706882996212,0.512287060094896,77.55537259517357,1.2973228232046206,1.0,1.0,1.0,51.06672608832751,0.0,-0.0009234334445864523
20251127,02_top_gainers_liquid,ARWR,99.6656125907898,0.4808826604248029,0.4323652959320689,0.4435816677273437,81.82791822770498,2.8658971821618024,1.0,1.0,1.0,52.53017241386949,0.0,-0.015488977805475868
20251127,02_top_gainers_liquid,AXTI,96.02237547655623,0.0336300854731814,0.4780763162003565,0.4892926879956313,66.54865542591625,0.5325322152022567,0.7405023773658367,1.0,1.0,47.66091566237685,1.0,0.04321761611529151
20251127,04_most_active_liquid,BBAI,30.275301584234494,0.0308218876088315,-0.1275362467069729,-0.1163198749116981,47.36831635162353,0.9220369098711092,0.4766207131446556,0.0,0.0,47.46856811774114,1.0,0.013686739198628395
