Ticker,Probability,ret5,rel20,rsi14,vol_spike,bb_pos,above_sma20,above_sma50,ML_Probability
A,65.70386874449642,-0.0334459752364821,0.0022277767146791,51.10532399974532,0.7369128277183923,0.2423701924619864,0.0,1.0,
AA,64.87780433739218,-0.0192102782683268,0.0008968318592749,49.63149849708848,0.5170513934823298,0.3575993587841629,0.0,1.0,
AAAU,76.7500889459375,-0.0129997246344388,0.0029701171268501,53.16064943985122,0.6209128548613839,0.5947199309938695,1.0,1.0,
AAL,49.93947241277305,-0.072877553452154,0.0223555016346892,45.35603765991343,0.7834314072191684,0.1319800923539073,0.0,0.0,
AAOI,8.163887474300736,-0.0993684467516446,-0.3487212301681464,33.73697473289421,0.3901971604640648,0.149979171957247,0.0,0.0,
AAON,19.068066505719603,-0.1205005205831736,-0.0957979214416234,40.76376363845932,0.4149855373584846,0.125972205420884,0.0,0.0,
AAP,29.801961966405084,-0.0229142567993465,-0.087622468417193,44.626208374122925,0.201986989723519,0.4139483640869085,0.0,0.0,
AAPD,69.05244235488264,0.0262143520114035,-0.0075769219138169,44.079661432362,0.7146976716108655,0.5419629269953185,1.0,0.0,
AAPL,69.78034703314817,-0.0243415520691416,0.0338468118582383,56.324854863559615,0.5523319933673518,0.4919523852905593,0.0,1.0,
AAPU,75.67076125297959,-0.0516733703888376,0.0471381183168923,54.32319324035496,1.0068278620106024,0.4487366866905758,0.0,1.0,
ABBV,83.68275573114539,0.0415019820433251,0.0243649930316797,63.28154644262492,0.6130317433593322,0.839886709456436,1.0,1.0,
ABNB,27.945168178037427,-0.0506814587965369,-0.0843487924791793,32.28508042739571,0.727917313728395,0.0069667870729982,0.0,0.0,
ABR,14.051250264556897,-0.0523173648325887,-0.2454504231129135,22.30071475729828,0.7442579616552822,0.2220696166150502,0.0,0.0,
ABT,84.36181010431416,0.0242519829216905,0.0307749834058536,57.561154730875714,0.6372667104510998,0.8902613776809354,1.0,1.0,
ABTC,91.3056737325749,0.0807331949372516,0.1004695010524715,50.38532082870371,1.124446126930423,0.6697522270690764,1.0,0.0,
ABVX,95.38866615727592,0.0452961906472826,0.254450822667044,69.95738977826369,0.7614992579980853,0.9367503963742868,1.0,1.0,
ACAD,89.88825225325361,0.0050590574497124,0.1316870952501646,59.38416956246626,0.558712638777716,0.8139345403694127,1.0,1.0,
