Ticker,Probability,ret5,rel20,rsi14,vol_spike,bb_pos,above_sma20,above_sma50,ML_Probability
A,15.794769544600468,-0.0292235539546943,-0.0747084007654571,34.14058370835744,0.4604342082398107,0.0554710983180515,0.0,0.0,49.884490549878024
AA,95.60602123777583,0.0568996628641609,0.271412609769369,68.44340335522799,0.4909750358624725,0.8260847007800617,1.0,1.0,48.027311251425964
AAAU,87.89661415381106,0.0245509347515906,0.0456926850254828,71.56833045783021,0.6892138394453564,0.9136580795018356,1.0,1.0,49.780201903315415
AAL,96.27078452528086,0.048176992374574,0.2645101776247989,72.67217869999789,0.6832735718806247,0.8662287500599746,1.0,1.0,48.78250729205969
AAOI,64.0440692557803,-0.2289880026787942,0.2716264544945219,47.24960948039784,0.464760835653212,0.5069052103461006,1.0,0.0,50.76187497007619
AAP,8.747921197878293,-0.0701792248677067,-0.1393891764962028,31.91574032987242,0.559922033950795,0.0,0.0,0.0,50.20415942155941
AAPD,48.88141235921603,0.018287910482565,-0.0400057031602461,52.03019067807416,0.3297813555807397,0.6873287773884836,1.0,0.0,48.25796351860491
AAPL,51.45937690269717,-0.0176841692279516,0.004546107446139,48.63090267049823,0.5105159623909572,0.3335690788666615,0.0,1.0,49.739146798664905
AAPU,53.045031093786434,-0.0368141768327846,0.0189873417877437,46.85439105162677,0.6811163414922695,0.3011880933654696,0.0,1.0,50.44332735276039
ABBV,30.194813198908797,0.002531340895101,-0.05414202236522,49.25772611351772,0.4376381742273599,0.3957883873565231,0.0,0.0,48.85431807592957
ABNB,94.92991580719196,0.0553422058860029,0.1470137883682123,73.67113863694166,0.7203148928818843,0.9714847845079028,1.0,1.0,48.70656093087569
ABR,17.56769955865866,-0.0889503080894869,-0.0528333708694722,31.608957291930466,0.9622969730234896,0.0187212286443586,0.0,0.0,49.256946252146165
ABT,50.7842675964538,0.0322317164412795,-0.0463449757721582,50.85777173046833,0.5607824910877833,0.5685660047294028,1.0,0.0,47.82113358311891
ABVX,27.38867127034661,-0.1238531978368485,-0.0378265477729432,46.87994088567152,0.4611761563800397,0.2064913565253687,0.0,1.0,49.80694339443907
ACAD,87.70332977105964,0.0052256800416556,0.1129352779991677,65.44527414654902,0.4915449281379334,0.7174867615289018,1.0,1.0,49.54688851744295
ACB,99.12295827243284,0.2384105681425004,0.2469438688485474,68.14398038831841,1.917447815031265,1.0,1.0,1.0,50.55782421288818
