Ticker,Probability,ret5,rel20,rsi14,vol_spike,bb_pos,above_sma20,above_sma50,ML_Probability
ADPT,98.48623398728756,0.3333332431513673,0.1164565874469384,68.64602278113799,2.035984217836936,0.9853166803759172,1.0,1.0,
ARQT,98.5505118614697,0.1916000366210937,0.5060553750191356,73.75162362595731,0.5916723978273937,1.0,1.0,1.0,46.53943884953611
AZN,94.33056476398028,0.0243546375545178,0.1205125822958311,71.66497928880656,1.2478089208565482,0.9001370780545533,1.0,1.0,50.170475212115484
BIIB,95.87717817305682,0.0489704666165842,0.19726272813215,76.10086803189242,0.777303934789608,1.0,1.0,1.0,46.767161706793225
HLF,99.61213458004076,0.2930661984328744,0.4557579935448016,79.9669993287703,2.7319099744825137,1.0,1.0,1.0,
HOUS,97.19307770933618,0.082268346270905,0.2863415918902604,75.94769294509516,0.7064337621525864,0.9315315403612202,1.0,1.0,47.4826591259802
NTRA,98.72400862225444,0.1434795267952793,0.2380943412679309,80.50650258693642,1.4301801304288593,1.0,1.0,1.0,47.66763933992841
NVRI,99.56574584721946,0.2929745208588457,0.3167116853443675,82.65897467266369,5.713736520878179,1.0,1.0,1.0,
RCUS,97.77743730920196,0.1066267773885574,0.3077761682295842,75.78207444915455,0.7452136870729941,1.0,1.0,1.0,47.75858632110903
ROST,98.05113120369856,0.0873396047861549,0.138610282294436,78.70085178881689,2.106247619275308,1.0,1.0,1.0,48.20496558630576
TNGX,98.9469770943552,0.2227661784367818,0.3575913957470328,69.67432214605164,1.2505654068429932,1.0,1.0,1.0,54.88580566582457
TXG,98.68827671427792,0.1686594898424684,0.3732866245397704,72.90903513414662,1.0299626420184025,1.0,1.0,1.0,
VRDN,97.80919879948674,0.0566562090660913,0.39654396100466,77.22957627782824,0.9538617298034464,0.8518750641075619,1.0,1.0,51.69400364332718
