Date,Screener,Ticker,Probability,ret5,ret20,rel20,rsi14,vol_spike,bb_pos,above_sma20,above_sma50,ML_Probability
20260102,07_gap_watch_liquid,A,19.404678158769208,-0.007012732571864744,-0.07979357390888053,-0.0824551761764386,39.3335907610417,0.4009780468959067,0.3097627323354779,0.0,0.0,47.2865147153777
20260102,07_gap_watch_liquid,AA,96.77615651785064,0.050158466774826715,0.2770975429369711,0.274435940669413,76.96361015760468,0.729893661159104,0.8972995528159221,1.0,1.0,50.050600477748
20260102,07_gap_watch_liquid,AAAU,61.51022267726008,-0.03478054487167037,0.027521680701205975,0.024860078433647903,53.05486694848608,0.8124587093673262,0.49429077002272925,0.0,1.0,50.334365602588804
20260102,07_gap_watch_liquid,AAL,81.19213819611598,-0.00600127529608907,0.07046015504936154,0.06779855278180347,59.60376588362754,0.6161167461344146,0.6407662173450861,1.0,1.0,49.09349642872225
20260102,07_gap_watch_liquid,AAOI,95.18974365439836,-0.0317072984648914,0.5477583373630566,0.5450967350954985,63.066798831618534,0.7687692237960919,0.8247116576297454,1.0,1.0,50.6601749093874
20260102,07_gap_watch_liquid,AAON,39.8510410511704,0.039780965209498254,-0.11085408160568677,-0.11351568387324484,43.96098856229662,0.8523114523457597,0.5086943042379665,1.0,0.0,46.1687612688483
20260102,07_gap_watch_liquid,AAP,6.984919236985918,-0.05593383503901572,-0.2747991671944864,-0.27746076946204445,28.917460053564398,0.8597989264579098,0.2187091300256804,0.0,0.0,44.87032049505837
20260102,07_gap_watch_liquid,AAPL,24.987701578611823,-0.012052108478115664,-0.04800276059773001,-0.05066436286528808,43.3634491013287,0.6167163788334347,0.14865359182268822,0.0,0.0,48.263390987423065
20260102,07_gap_watch_liquid,ABBV,67.53706924501589,-0.0008264928527151882,-0.0023454157923823438,-0.005007018059940416,54.63598407496919,0.33582311962963457,0.769653550502071,1.0,1.0,48.227056582596255
20260102,07_gap_watch_liquid,ABEO,83.81493889868989,-0.021256889900500564,0.11945032874040695,0.11678872647284888,54.522363295420504,0.7057981167225403,0.6010835552425393,1.0,1.0,49.95474983361009
20260102,07_gap_watch_liquid,ABNB,83.43085647228345,-0.022371674118313534,0.1131274808790399,0.11046587861148183,60.76738931023824,0.5586059164224979,0.5957513118638081,1.0,1.0,49.44824658235598
20260102,07_gap_watch_liquid,ABR,17.692704349692782,0.00882726017360369,-0.119912005972582,-0.12257360824014008,38.850617186357965,0.4830040895183902,0.34029650652540205,0.0,0.0,44.880612564153175
20260102,07_gap_watch_liquid,ABT,34.542544544214095,-0.004286483800816421,-0.0081012002732187,-0.010762802540776772,44.75120672705542,0.48655554910687354,0.4127379938322356,0.0,0.0,48.81236673667673
20260102,07_gap_watch_liquid,ABVX,84.922121226747,-0.07356687510159576,0.21355805234687608,0.210896450079318,58.530487218542575,0.36652714282248433,0.6664354328936859,1.0,1.0,48.51379271215806
20260102,01_new_highs_liquid,ASML,94.82005640923211,0.09649743261914101,0.02403316693445201,0.02137156466689394,68.1413183237047,1.8385982259159948,1.0,1.0,1.0,48.94782968228177
20260102,01_new_highs_liquid,ASX,94.30024160516119,0.08649519296020314,0.09707797897829273,0.09441637671073466,71.14562359130824,0.8630646441125502,1.0,1.0,1.0,49.85277015557763
20260102,01_new_highs_liquid,AXTI,99.05345971136592,0.1224250952689494,0.46756111573918235,0.4648995134716243,67.35028807686517,1.8869479961314455,0.8899568059043611,1.0,1.0,49.28188086240712
20260102,01_new_highs_liquid,BBVA,93.50679544719222,0.023584955043170597,0.08995439520630155,0.08729279293874348,72.65577242497287,1.1743943686878129,0.9683005011586197,1.0,1.0,49.28393659543571
20260102,06_new_lows_liquid,BEKE,63.01120842184251,0.0046757388597289395,-0.03096809474671658,-0.03362969701427465,44.1618717932364,2.3513449051271667,0.3386674426477801,0.0,0.0,49.461905752512415
20260102,04_most_active_liquid,BITO,62.9770364916692,0.03215171802500261,-0.03248873241471084,-0.03515033468226891,49.53726821678357,1.1575511762077597,0.6255592383688914,1.0,0.0,48.07368162403538
20260102,04_most_active_liquid,BMNU,24.760558370019993,0.08010719640096942,-0.25141085965950527,-0.25407246192706334,43.5931626404391,1.1604222063711431,0.3742320499722024,0.0,0.0,44.65309129293386
20260102,10_pattern_wedge_resist,BSCR,78.26954654003573,0.0020304064279002,0.004163962474660554,0.0015023602071024822,82.49824940568526,0.9262384322930337,0.8938015854917066,1.0,1.0,50.53053736620938
20260102,06_new_lows_liquid,CDW,28.33189973932236,-0.03395578174531455,-0.06737189009763167,-0.07003349236518974,29.47297897205057,0.359356878008433,0.023397279408510278,0.0,0.0,49.597030829048435
20260102,01_new_highs_liquid,CENX,96.12968794008088,0.036886209554481963,0.31738841687045527,0.3147268146028972,74.58930495754981,0.5168264741818835,0.8706616908029541,1.0,1.0,48.85844032384484
20260102,09_oversold,CORT,10.964606524022717,-0.5499461588703056,-0.5503764819508783,-0.5530380842184364,18.585123984147415,1.9896095056758571,0.0,0.0,0.0,48.20671690453642
20260102,06_new_lows_liquid,CPRT,41.2722709982546,-0.02634268080543778,-0.020077189444845156,-0.022738791712403228,32.253548527284394,0.7063344151009944,0.0,0.0,0.0,49.29815307832614
20260102,02_top_gainers_liquid,CRML,56.30891873410307,0.012106467920636854,0.009661826846140142,0.0070002245785820705,50.147823614429626,1.1450856074319118,0.49829529306293263,0.0,0.0,49.23879193675798
20260102,09_oversold,CVI,19.611520307084113,-0.036432674683997246,-0.2599825597962945,-0.26264416206385255,14.074096182460721,0.6411489197427731,0.19948933720068385,0.0,0.0,44.381319487544296
