Ticker,Probability,ret5,rel20,rsi14,vol_spike,bb_pos,above_sma20,above_sma50,ML_Probability
ACHC,13.966367753354984,-0.1473486376509197,-0.2805662530199635,19.869726574465616,1.084155446360072,0.0,0.0,0.0,46.50622990540457
BAX,24.593821306385728,-0.0249862683460553,-0.2255804478025674,18.952692432951693,0.8337371961396394,0.1594771095156296,0.0,0.0,48.35520312826982
CCOI,11.370653848651171,-0.4574441846732633,-0.5212712041626221,15.70212235670236,1.8620811052635693,0.0,0.0,0.0,48.78481877103609
CMG,21.635955942833817,-0.0333227907579244,-0.283867464593312,18.423827376031756,0.9193657735063638,0.1595791718768388,0.0,0.0,49.286024487386165
FI,13.30002462908942,-0.020571080214054,-0.5080068747282208,16.25992160780342,0.4098726835031012,0.2213928067260239,0.0,0.0,50.78918841168781
FMC,16.303998653341125,-0.0062015043322286,-0.5512241030487199,16.12052549618548,0.6678396000561099,0.2029456546493189,0.0,0.0,50.78323282564888
JBI,13.066661863281364,-0.3287941938086313,-0.3510660989270036,13.41153322955772,1.581924203960812,0.0,0.0,0.0,47.80143333794764
KMPR,10.42279065065122,-0.154816519179616,-0.2626577078223707,17.514863182448508,0.5626987510838606,0.001212575821691,0.0,0.0,45.65474517630647
LRN,12.950842113259109,-0.0913783903999908,-0.5794073333323762,17.932565713007776,0.9899814908868572,0.2035661531253288,0.0,0.0,53.83379702954213
MAN,15.1275400558883,-0.0817547683398638,-0.3013140879170278,18.48607187628465,0.8027680342409216,0.1061918022019642,0.0,0.0,48.764175084893765
OC,16.908192103683653,-0.168552757749218,-0.1998906687957116,18.32471227644908,1.0647694012781006,0.0,0.0,0.0,48.15853663432525
PRGO,11.762032455885157,-0.3063809403386385,-0.3565956169832933,12.470970396457773,1.3577596172977937,0.0,0.0,0.0,47.416494147509084
SGRY,24.101113954204852,-0.2610599408458256,-0.218353029990365,19.274861947679558,6.960554410048434,0.0,0.0,0.0,49.51541596355636
TREX,9.667962082898772,-0.3281184812857424,-0.4015910342118054,17.45442985026257,1.2708321373274765,0.0174576874756881,0.0,0.0,48.9490039907172
WWW,9.75332401104952,-0.2685765424806836,-0.3842889336366728,19.32421670289108,1.1606549831207762,0.0678469623895326,0.0,0.0,51.40478777060383
ZTS,18.248374391385223,-0.1698649340885878,-0.1833467570599349,18.30924960325426,1.04695180572147,0.057018939421971,0.0,0.0,48.09246585160811
