Ticker,Probability,ret5,rel20,rsi14,vol_spike,bb_pos,above_sma20,above_sma50,ML_Probability
AJG,40.98398834041713,-0.0314796798427214,-0.0435481464394043,29.92583648726621,0.8183197950840065,0.0097799117437264,0.0,0.0,51.814365629792746
AMH,37.71104401374474,-0.039383543951264,-0.0447345768737953,34.20332010024957,0.8027506718291483,0.0,0.0,0.0,52.04178197460513
ARE,22.779949299623155,-0.1492453623031419,-0.1627127373666382,25.50660217051892,1.3984762025146478,0.0,0.0,0.0,52.30225103208226
CNK,18.258991746314276,-0.2014243812523924,-0.2647656553623176,26.252013379436363,2.011477827597835,0.0,0.0,0.0,51.94136986374082
DOCS,23.22557716635745,-0.1089618913661103,-0.2890452379239007,27.934546667661223,2.270431735604173,0.0108658974723835,0.0,0.0,51.44008160872718
DOCU,52.16865699457331,-0.0497476139026823,-0.0763938683770312,42.11132213276443,3.207308023195487,0.2870066415713042,0.0,0.0,50.7443323632505
GLPI,31.885555331394038,-0.0400872727043286,-0.0756777608481148,32.127623918993464,0.7348975500560484,0.0,0.0,0.0,50.82553029309117
INVH,31.89491088719913,-0.0381773404012547,-0.0461566526877736,36.82055303477862,0.500669791651319,0.0,0.0,0.0,52.68135516116572
LIN,40.88679597199578,-0.0235421986961809,-0.0567654003730797,29.45466138269541,0.8108246342825394,0.0921333116745615,0.0,0.0,50.60025085648904
MKC,35.26343799242028,-0.06224072864106,-0.0334896251207368,37.04017612914077,0.7308049908896768,0.0536872098150411,0.0,0.0,51.985326553600274
S,37.894212379479306,-0.1039481530604417,-0.133631571686096,33.40024819278598,4.359854397592662,0.0,0.0,0.0,52.97764636409285
SLG,36.99170783745342,-0.0961171757124956,-0.1693921920514741,30.514967544420884,3.3876160867022844,0.151396529318102,0.0,0.0,50.125820763746454
VICI,37.39458561469399,-0.0399028324326041,-0.0923206413504036,19.16594386833127,0.8895537969820063,0.0787619487433335,0.0,0.0,49.9281146250909
VRNS,32.133097803753586,-0.0861808408760215,-0.1355105397454237,24.48560247603031,1.3805578174773792,0.0761052451642069,0.0,0.0,50.08133313133092
