Ticker,Probability,ret5,rel20,rsi14,vol_spike,bb_pos,above_sma20,above_sma50,ML_Probability
AA,99.4338360539625,0.1845824651769647,0.4428311124783846,84.51651045421396,1.6761243825053156,1.0,1.0,1.0,
ALB,98.4915361182856,0.0912989125817462,0.2517388995202956,74.08416233436697,1.5394652091489829,1.0,1.0,1.0,50.61677529297868
AMKR,99.04658419881518,0.2726365742971999,0.1678096230382266,74.92175638192832,2.0766407785107144,1.0,1.0,1.0,51.040395004127205
ARWR,96.32658345236744,0.0142917994532303,0.1369433372397901,62.82770978664765,2.7688557352903684,0.7914109352712152,1.0,1.0,49.96280953357972
AXTI,99.53455756980338,0.3670321786313681,0.7099767975538473,75.69992183480441,1.6520035103334654,1.0,1.0,1.0,
FIGR,99.51995191172595,0.3193110050310737,0.4310721555393308,73.97087123013719,2.0536611418015105,1.0,1.0,1.0,50.951528867858144
FTAI,99.5042299813866,0.3731123064697248,0.3282218758327775,83.61785018144249,1.7485331331717973,1.0,1.0,1.0,
LAR,99.44270972322347,0.2860072748232602,0.3536806935964556,77.13684523060286,1.8389820747712429,1.0,1.0,1.0,
LRCX,98.93440317865736,0.1780861329037353,0.2931557580771482,76.88105358676304,1.3044481053684036,1.0,1.0,1.0,51.71988076166062
LSCC,96.6674331103655,0.1519581840403212,0.0768941269545211,72.04629776966271,1.322283369469316,1.0,1.0,1.0,49.605073337075616
NRGV,98.83471091908572,0.144718832204739,0.3258030349024319,67.07946667794548,1.5203301103997164,1.0,1.0,1.0,
RKLB,99.28128796958693,0.2266827726820248,0.7410506569856339,74.55676420240493,1.286137326671459,0.9706221135884516,1.0,1.0,55.68554630360717
SGML,98.90522062405851,0.2272211020104824,0.7087134229884056,73.27038399563756,0.7581859102724228,1.0,1.0,1.0,55.85012693513182
SKYT,99.6330588512073,0.5195227573888812,0.546008949408435,77.28018535286839,2.2040516251377595,1.0,1.0,1.0,53.98638034810844
SNDK,99.6528941266938,0.4343529098963663,0.5210316662178529,77.89001787880262,2.639733553171113,1.0,1.0,1.0,
STX,97.90451903346768,0.1752222207033948,0.1765246348116025,70.01842501211414,1.1228501788240368,1.0,1.0,1.0,
WDC,99.25110998159724,0.2254007215654729,0.2912994168936222,74.99120064227809,1.7675219842259358,1.0,1.0,1.0,
