Date,Ticker,ret5,ret20,rel20,rsi14,vol_spike,bb_pos,above_sma20,above_sma50,Outcome2D_Label,Outcome2D_Excess
20250207,AAPL,,,,,1.0,0.5,0.0,0.0,1,0.015487898084925122
20250210,AAPL,,,,99.99999962869121,1.0,0.5,0.0,0.0,1,0.042964214416419066
20250211,AAPL,,,,99.9999998344958,1.0,0.5,0.0,0.0,1,0.031000798444190014
20250212,AAPL,,,,99.99999988424403,1.0,0.5,0.0,0.0,1,0.022126186646074686
20250213,AAPL,,,,99.99999991183404,1.0,0.5,0.0,0.0,1,0.009285954742785485
20250214,AAPL,0.07573223080229718,,,99.99999992138115,1.0,0.5,0.0,0.0,0,-0.004193912791092824
20250218,AAPL,0.07388542778125684,,,99.22182284194878,1.0,0.5,0.0,0.0,1,0.007378408455211427
20250219,AAPL,0.052661013368241916,,,99.24138374852888,1.0,0.5,0.0,0.0,1,0.023970340859627792
20250220,AAPL,0.03782673808007653,,,99.2876649529758,1.0,0.5,0.0,0.0,1,0.026742765212686814
20250221,AAPL,0.016643932186292787,,,97.42078849708402,1.0,0.5,0.0,0.0,1,0.015568989000840139
20250224,AAPL,0.010220772181089188,,,97.6807504951824,1.0,0.5,0.0,0.0,0,-0.022805539605811886
20250225,AAPL,0.010512521066055935,,,97.27199571483936,1.0,0.5,0.0,0.0,0,-0.02396158520104319
20250226,AAPL,-0.01841789561433016,,,64.77606807728746,1.0,0.5,0.0,0.0,1,0.006762911558622409
20250227,AAPL,-0.034698831344694314,,,55.61104708742712,1.0,0.5,0.0,0.0,1,0.005263949788513189
20250228,AAPL,-0.015108947066888367,,,63.79565181059735,1.0,0.5,0.0,0.0,1,0.004711775196497681
20250303,AAPL,-0.036705841948734275,,,54.683269820490146,1.0,0.5,0.0,0.0,0,-0.008404403523385007
20250304,AAPL,-0.04497246862183235,,,50.409332742003585,1.0,0.5,0.0,0.0,1,0.00465103174314796
20250305,AAPL,-0.019221167167395192,,,50.02835867953758,1.0,0.5,0.0,0.0,1,0.02637161374134478
20250306,AAPL,-0.008301684463925096,,,49.16484960714813,1.0,0.5,0.0,0.0,0,-0.012177513920914373
20250307,AAPL,-0.011453825128904582,,,56.534834262978045,1.0122747634180504,0.4838208678615802,0.0,0.0,0,-0.041526900963207214
