Ticker,Probability,ret5,rel20,rsi14,vol_spike,bb_pos,above_sma20,above_sma50,ML_Probability
A,27.90247001374178,-0.0158606748899163,-0.1273075426540232,39.28999606180916,0.3858746917300713,0.2479744829031681,0.0,0.0,
AA,98.47771057680109,0.1824576595034386,0.4380366550297072,79.55384559362491,1.073265390575687,1.0,1.0,1.0,
AAAU,86.10171532206392,0.0303576810484069,0.0479864607249544,77.71868619282392,0.671398696751853,1.0,1.0,1.0,
AAL,96.04488414700197,0.0570776258548386,0.2169792788204045,71.74305612256474,0.955406341280714,0.922329200295954,1.0,1.0,
AAOI,99.39552912526791,0.3073611984426594,0.8572712578447348,67.7352673609081,1.7348844394575096,1.0,1.0,1.0,
AAP,11.373596198868748,-0.1049274208936998,-0.2551099047991499,28.621347849586257,0.6444380986281846,0.0780092084992905,0.0,0.0,
AAPD,81.13848610524411,0.0137720206104565,-0.0360760798643944,57.57011117087859,0.895023315261917,0.9375853691407512,1.0,1.0,
AAPL,57.841631333410106,-0.0123307232346875,-0.0449497757001733,43.59186189432288,0.5486164857859086,0.0830991466078622,0.0,1.0,
AAPU,46.28917675389036,-0.0258626286547789,-0.0555883202184834,42.049373758823016,0.9213435215642264,0.0836801950357258,0.0,0.0,
ABBV,67.11833423341673,-0.0002637835102164,-0.079775335059451,52.04749611238901,0.4750212147279947,0.6210215815635478,1.0,1.0,
ABEO,96.0705623471008,0.0807086325924586,0.1832958866868492,60.394298074117664,0.8070742211748427,0.9027941096900356,1.0,1.0,
ABNB,91.98189988442938,0.0371747913362583,0.1543312591966785,76.12150804928275,0.5352161117360973,0.9087516290804896,1.0,1.0,
ABR,31.346356726093312,-0.0710024175302179,-0.1284181582138863,25.30234568698576,1.3810113892392115,0.0,0.0,0.0,
ABT,41.56556791718887,-0.0245972104933718,-0.0640067266080806,47.47427681333521,0.4949331887623286,0.4480182479345035,0.0,0.0,
ABVX,98.14338312802576,0.1739461781852769,0.1198709631913794,66.25669832350175,1.983296742320524,1.0,1.0,1.0,
