Ticker,Probability,ret5,rel20,rsi14,vol_spike,bb_pos,above_sma20,above_sma50,ML_Probability
A,16.14087784156767,-0.0492786454594281,-0.0710096672789784,34.613086515463976,0.6063160277248658,0.0736579074319956,0.0,0.0,49.56123447695522
AA,95.7575048341217,0.053987452517102,0.2679921967169809,68.15620081726743,0.602067159719429,0.818238186632108,1.0,1.0,48.59306894125052
AAAU,88.91831167144149,0.0263472688412238,0.0476965267141538,72.15350115337785,0.7579448333140414,0.9329682868034334,1.0,1.0,49.36070391754657
AAL,95.15803539688528,0.0235072524914425,0.2344281284680687,66.18766752162405,0.8656266378886117,0.790363638518029,1.0,1.0,49.495294817018795
AAOI,66.44150211470135,-0.224033749056822,0.2800586677758911,47.60126483098775,0.5609892269215114,0.516108908362721,1.0,0.0,50.659758352625495
AAP,6.3798293897660825,-0.1300713795586507,-0.1617694417602178,30.878643266325653,0.6832644304290618,0.0,0.0,0.0,52.10144400373067
AAPD,52.6041513560042,0.0217898618411687,-0.0365010460989274,53.800471895649295,0.3995284697019793,0.7334015665575149,1.0,0.0,48.25639813872695
AAPL,50.65274050150816,-0.0209427127103556,0.0012857829288384,46.97646406932797,0.619472048188043,0.2904150908173958,0.0,1.0,50.40433284501442
AAPU,50.29680471086601,-0.0433931410634845,0.0120309577723298,45.21830987669355,0.7390948961565167,0.2570205119904517,0.0,1.0,49.95848476929538
ABBV,28.69688153982425,-0.0020427723156578,-0.0584097856016374,47.735309607149,0.5314151335600753,0.3298315257957769,0.0,0.0,49.074354583887406
ABNB,94.94747656092034,0.0487574947572955,0.1398723074189916,72.70854087537816,0.8691202375910358,0.9471850590046232,1.0,1.0,49.37345440452848
ABR,19.21063130346411,-0.0915359772837943,-0.0554402782054935,31.2755659746056,1.1622938765900817,0.0026393355236573,0.0,0.0,49.6858010529337
ABT,52.30526907910803,0.0319869283666174,-0.0464393478218204,50.77501917071294,0.6580022185925759,0.5654591372069557,1.0,0.0,47.92670383167636
ABVX,25.928634352126,-0.133850857509734,-0.0488910868497282,45.748015262413965,0.613398157705609,0.1662845876036837,0.0,1.0,51.14856489097074
ACAD,87.93593717690213,0.0018650184783739,0.109285979336257,64.85850113385702,0.6207262727965905,0.7036323966686802,1.0,1.0,49.778041351152794
ACB,99.15770846860369,0.2384105681425004,0.2470802566396304,68.14398038831841,2.033770804270774,1.0,1.0,1.0,50.74624116623249
